City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint-augustin,75,FR,1533708000,93,44.83,-0.61,66.2,3.36
tezu,88,IN,1533709469,92,27.93,96.16,71.24,1.74
kushima,75,JP,1533704400,84,31.5,131.29,91.4,8.05
fomboni,0,KM,1533709470,100,-12.28,43.74,75.56,5.77
tiznit,24,MA,1533709471,97,29.7,-9.73,67.19,2.48
ladario,48,PT,1533709471,96,40.7,-7.74,53.42,2.37
hammerfest,75,NO,1533707820,76,70.66,23.68,51.8,19.46
srivardhan,92,IN,1533709472,100,18.03,73.02,75.92,10.65
northam,40,GB,1533707400,82,51.04,-4.21,59.0,9.17
mitu,0,IR,1533709472,20,36.2,46.09,86.81,1.7
bagdarin,88,RU,1533709473,94,54.44,113.59,57.74,2.82
dodola,92,BF,1533709473,98,10.12,-3.28,69.71,8.41
gradacac,0,BA,1533708000,93,44.88,18.43,66.2,2.24
zhigansk,0,RU,1533709474,45,66.77,123.37,72.5,2.48
roura,75,GF,1533708000,100,4.73,-52.33,73.4,7.07
peniche,20,PT,1533708000,87,39.36,-9.38,62.6,9.17
shimoda,75,JP,1533704400,88,34.7,138.93,78.8,27.51
bushehr,0,IR,1533706200,56,28.97,50.84,95.0,11.41
viedma,12,AR,1533709475,84,-40.81,-62.99,45.59,20.83
opaka,0,BG,1533708000,100,43.45,26.17,69.8,2.24
ler,0,NO,1533707400,60,63.2,10.3,69.8,4.7
ostrovnoy,0,RU,1533709476,75,68.05,39.51,55.85,14.05
toride,75,JP,1533706920,100,35.91,140.08,77.0,17.22
omsukchan,76,RU,1533709477,87,62.53,155.8,53.51,5.39
gua musang,68,MY,1533709477,75,4.88,101.97,83.57,0.85
sungaipenuh,92,ID,1533709478,90,-2.08,101.38,71.51,0.74
nouakchott,80,MR,1533709478,100,18.08,-15.98,76.37,11.59
matagami,80,NG,1533709479,97,9.67,8.4,68.27,3.04
namibe,0,AO,1533709479,100,-15.19,12.15,64.22,8.3
arua,20,UG,1533709479,96,3.02,30.91,68.45,4.32
faya,0,SA,1533704400,47,18.39,42.45,75.2,5.21
atambua,76,ID,1533709480,75,-9.11,124.89,85.19,2.75
montemor-o-novo,20,PT,1533708000,93,38.65,-8.21,59.0,11.1
mugan,32,CN,1533709481,62,35.94,101.38,67.01,2.86
beringovskiy,48,RU,1533709481,88,63.05,179.32,57.29,3.83
campo maior,0,ES,1533708000,82,39.01,-7.07,60.8,5.82
saldanha,0,PT,1533709482,89,41.42,-6.55,52.25,2.86
tazmalt,20,DZ,1533708000,83,36.39,4.4,73.4,11.41
kapit,20,MY,1533709482,58,2.02,112.94,90.41,2.86
madimba,75,CM,1533708000,100,4.42,9.93,75.2,2.24
kenitra,75,MA,1533708480,88,34.26,-6.57,68.0,3.36
svetlogorsk,40,RU,1533706200,60,53.14,59.15,75.2,6.71
ust-kuyga,0,RU,1533709484,60,70.0,135.55,64.94,7.78
salisbury,75,GB,1533707760,87,51.07,-1.8,57.2,2.24
kidal,8,ML,1533709485,68,18.44,1.41,78.53,9.75
gornopravdinsk,56,RU,1533709485,74,60.06,69.92,72.77,5.73
kushiro,75,JP,1533707100,93,43.11,144.15,60.8,10.29
espanola,0,CA,1533709486,87,46.27,-81.77,60.26,4.83
brigantine,20,US,1533707760,94,39.41,-74.36,77.0,4.7
homer,75,US,1533707580,82,59.64,-151.54,60.8,6.93
bria,68,CF,1533709487,92,6.54,21.99,69.62,5.1
meadow lake,48,CA,1533709487,54,54.13,-108.44,67.37,8.01
san cristobal,75,EC,1533708000,93,-0.39,-78.55,50.0,11.41
terre-de-bas,20,GP,1533708000,88,15.85,-61.64,77.0,15.35
toamasina,20,MG,1533708000,65,-18.17,49.38,77.0,4.7
marsh harbour,0,BS,1533709489,100,26.54,-77.06,82.76,7.9
mirabad,0,IR,1533709489,17,28.27,61.33,90.32,7.74
tandil,92,AR,1533709489,100,-37.33,-59.14,50.81,23.06
finschhafen,0,PG,1533709490,82,-6.6,147.85,77.45,3.31
surgut,75,RU,1533706200,100,61.25,73.4,64.4,8.95
hualmay,32,PE,1533709490,93,-11.1,-77.61,51.71,2.37
otane,92,NZ,1533709491,84,-39.89,176.62,50.99,7.63
marawi,64,PH,1533709491,67,8.0,124.29,80.33,6.51
janesville,40,US,1533708900,100,42.68,-89.02,66.2,4.7
cockburn town,8,TC,1533709492,100,21.46,-71.14,81.86,16.96
olga,1,US,1533707880,39,34.11,-118.17,82.4,8.05
siguiri,92,GN,1533709493,100,11.42,-9.17,70.25,9.31
kattivakkam,40,IN,1533708000,49,13.22,80.32,93.2,16.11
piacabucu,88,BR,1533709494,91,-10.41,-36.43,69.44,5.06
dolores,92,AR,1533709494,95,-36.31,-57.68,56.84,11.65
ulverstone,12,AU,1533709494,73,-41.16,146.17,47.93,14.05
olsztyn,0,PL,1533709495,67,53.78,20.48,71.33,10.31
zemio,24,CF,1533709495,96,5.02,25.13,70.43,3.31
la vergne,1,US,1533707760,78,36.02,-86.58,80.6,4.7
severodvinsk,40,RU,1533706200,82,64.56,39.82,55.4,8.95
mardin,0,TR,1533708000,58,37.32,40.72,87.8,3.36
broken hill,0,AU,1533709496,52,-31.97,141.45,63.86,12.03
beipiao,0,CN,1533709497,48,41.8,120.76,87.26,8.52
myasnikyan,0,AM,1533706200,44,40.18,43.92,80.6,2.24
mayo,90,CA,1533708000,87,63.59,-135.9,55.4,5.82
vaitape,80,PF,1533709498,100,-16.52,-151.75,77.27,15.39
peyima,92,SL,1533709498,100,8.69,-11.04,70.52,5.1
bud,75,NO,1533707400,93,62.91,6.91,59.0,2.24
lamu,0,ID,1533709499,64,0.57,122.3,85.73,5.73
grand-santi,12,GF,1533709499,97,4.27,-54.38,73.22,2.71
swan hill,12,AU,1533709500,95,-35.34,143.56,55.49,14.61
uarini,20,BR,1533709500,94,-2.98,-65.16,75.02,3.83
koulikoro,20,ML,1533708000,100,12.86,-7.56,71.6,4.7
pangody,92,RU,1533709501,92,65.85,74.49,62.42,15.17
charyshskoye,24,RU,1533709501,44,51.4,83.56,72.14,3.87
matara,8,PE,1533709501,96,-13.74,-72.9,32.18,2.04
simpang,75,MY,1533704400,58,4.82,100.71,87.8,1.12
moindou,0,NC,1533708000,64,-21.69,165.68,71.6,6.93
buta,24,CD,1533709503,92,2.79,24.73,71.87,2.98
acapulco,75,MX,1533706800,88,16.86,-99.88,80.6,1.74
tyrma,12,RU,1533709504,57,50.04,132.17,75.02,5.55
jalu,0,LY,1533709504,30,29.03,21.55,89.78,11.92
kununurra,0,AU,1533708000,6,-15.77,128.74,87.8,9.17
dingle,92,PH,1533709505,95,11.0,122.67,77.63,12.82
aitape,36,PG,1533709505,91,-3.15,142.36,82.85,6.29
conde,92,BR,1533709506,100,-11.81,-37.61,72.41,6.29
kirksville,1,US,1533707700,94,40.19,-92.58,68.0,4.7
touba,12,SN,1533709507,90,14.86,-15.88,71.69,5.5
skjervoy,40,NO,1533707820,76,70.03,20.97,51.8,5.82
cordoba,0,CO,1533709497,86,5.59,-73.79,41.81,1.97
hokitika,80,NZ,1533709507,99,-42.72,170.96,52.25,2.26
gat,88,SN,1533709508,88,14.69,-16.54,76.64,6.51
taoudenni,24,ML,1533709508,80,22.68,-3.98,71.78,7.56
thunder bay,5,CA,1533708000,100,48.41,-89.26,51.8,5.5
lavrentiya,92,RU,1533709509,100,65.58,-170.99,45.68,3.04
altus,20,US,1533707760,51,34.64,-99.33,86.0,12.75
dalianwan,75,CN,1533706200,89,39.03,121.69,84.2,8.95
inirida,80,CO,1533709510,99,3.87,-67.92,71.24,1.86
lodja,8,CD,1533709510,88,-3.52,23.6,73.67,3.27
adrar,40,DZ,1533708000,22,27.87,-0.29,87.8,5.82
talara,0,PE,1533709511,93,-4.58,-81.27,63.41,5.06
kavaratti,64,IN,1533709511,93,10.57,72.64,83.57,24.63
nome,1,US,1533707700,88,30.04,-94.42,78.8,4.27
guerrero negro,0,MX,1533709512,64,27.97,-114.04,74.03,2.71
ayan,0,TR,1533709512,45,40.67,33.6,69.08,3.2
sanming,24,CN,1533709513,77,26.24,117.6,86.27,1.86
morgan city,1,US,1533708900,100,29.7,-91.21,75.2,4.05
saint-louis,75,CH,1533708000,69,47.59,7.56,73.4,1.12
sertania,20,BR,1533709514,96,-8.07,-37.26,61.16,4.83
basco,1,US,1533708900,100,40.33,-91.2,71.6,4.7
verkhnyaya toyma,0,RU,1533709515,77,62.24,45.0,57.47,3.49
maldonado,0,UY,1533708000,87,-34.91,-54.96,53.6,5.82
marrakesh,40,MA,1533708000,88,31.63,-7.99,69.8,3.36
canutama,68,BR,1533709516,77,-6.53,-64.38,79.7,1.52
makakilo city,75,US,1533707820,61,21.35,-158.09,80.6,4.7
sambava,92,MG,1533709516,100,-14.27,50.17,72.5,12.82
norsup,12,VU,1533709517,79,-16.07,167.38,77.72,7.11
makarov,44,RU,1533709517,87,48.62,142.78,61.97,8.08
sorland,40,NO,1533707400,87,67.67,12.69,60.8,10.29
bonthe,92,SL,1533709518,94,7.53,-12.5,75.11,7.07
castrillon,75,ES,1533708000,93,43.4,-6.79,64.4,2.24
karlstadt,20,DE,1533707760,60,49.96,9.77,75.2,9.17
teya,75,MX,1533707280,88,21.05,-89.07,77.0,4.7
taksimo,92,RU,1533709519,84,56.36,114.84,57.65,1.25
gandajika,0,CD,1533709520,77,-6.75,23.95,70.97,5.88
russellville,75,US,1533707580,94,35.28,-93.13,71.6,1.48
solnechnyy,76,RU,1533709521,60,50.72,136.64,79.16,3.6
bambanglipuro,8,ID,1533709521,48,-7.95,110.28,88.61,9.08
port lincoln,80,AU,1533709521,86,-34.72,135.86,58.19,13.33
raymondville,1,US,1533707760,88,37.34,-91.83,73.4,2.53
novikovo,0,UA,1533709522,80,45.05,34.56,76.28,7.29
wattegama,100,LK,1533709522,97,7.35,80.68,72.86,6.78
yarkovo,0,RU,1533706200,56,54.81,82.6,69.8,4.47
koumac,92,NC,1533709523,77,-20.56,164.28,71.6,3.83
kamenka,0,RU,1533709523,70,53.19,44.05,66.65,11.1
le port,0,FR,1533709524,90,42.87,1.37,49.82,1.81
vila velha,75,BR,1533708000,74,-3.71,-38.6,78.8,14.99
agadez,20,NE,1533708000,83,16.97,7.99,77.0,2.24
